lead_id,store_name,lead_channel_label,google_maps_category,instagram_handle,followers,items_listed,sell_through_rate,website,email,phone,owner_name,address,city,neighbourhood,country,lat,lng,est_monthly_spend_gbp,lead_stage,last_contact_date,last_purchase_date,notes,lead_source,stage_clean,channel_clean,last_contact_date_clean,last_purchase_date_clean,is_genuine_lead,has_email,has_phone,has_owner_name,best_contact_method,contact_completeness
L1049,Marlowe Rail,,Thrift store,@marlowerail,10092.0,,,,info@marlowerail.com,+44 7880592962,Leo Nowak,178 Church Rd,London,"Dalston, London",UK,51.55131,-0.08595,2428,contacted,2026-03-15,,Hand-picked vintage from the 60s to the 90s | ,BDR,contacted,physical,2026-03-15,,True,True,True,True,email,4
L1098,Attic Rail,store,Vintage & retro fashion,@atticrail,19616.0,,,atticrail.shop,info@atticrail.com,,,112 Union St,Glasgow,Glasgow,UK,55.85359,-4.26173,1920,CONTACTED,2026-04-11,,"Reworked vintage and archive designer pieces | Left a voicemail, no callback yet.",Referral,contacted,physical,2026-11-04,,True,True,False,False,email,2
L1048,Worn Trading Co,store,Used clothing store,@worntradingco,18683.0,,,worntradingco.co.uk,info@worntradingco.com,+44 7925192546,,34 Market St,London,"Dalston, London",UK,51.54143,-0.07796,4189,CONTACTED,6 Apr,,"Y2K, grunge and reworked one-off pieces",BDR,contacted,physical,2026-04-06,,True,True,True,False,email,3
L1106,Echo Emporium,physical,Used clothing store,@echoemporium,18444.0,,,echoemporium.co.uk,info@echoemporium.com,+33 662638380,Oscar Haddad,123 Cheshire St,Paris,"Le Marais, Paris",France,48.86575,2.35626,3374,contacted,2026-05-01,,"Y2K, grunge and reworked one-off pieces",Inbound,contacted,physical,2026-01-05,,True,True,True,True,email,4
L1159,thepicks63,,,@thepicks63,10787.0,1188.0,41%,,,,,,,,,,,882,emailed,08/05/2026,,Sells on Depop + Vinted,Whatnot,contacted,online_reseller,2026-05-08,,True,False,False,False,instagram_dm,1
L1040,Curated Racks,store,Vintage clothing store,@curatedracks,14934.0,,,,info@curatedracks.com,+44 7921249985,Oscar Dubois,136 Mill Lane,London,"Peckham, London",UK,51.47289,-0.06647,607,Contacted,2026-06-22,,"Y2K, grunge and reworked one-off pieces | ",Google Maps scrape,contacted,physical,2026-06-22,,True,True,True,True,email,4
L1194,Attic Finds,store,Second-hand shop,@atticfinds,16392.0,,,,info@atticfinds.com,+44 7901751863,,110 Union St,Leeds,Leeds,UK,53.79957,-1.55345,1271,1st touch sent,27/05/2026,,"Y2K, grunge and reworked one-off pieces | Met at a market, said to drop by the shop.",Referral,contacted,physical,2026-05-27,,True,True,True,False,email,3
L1156,thriftedgoods77,depop,,@thriftedgoods77,14566.0,734.0,18%,,,,,,,,,,,1364,emailed,2026/05/10,,"Whatnot seller, live sales",Vinted scrape,contacted,online_reseller,2026-10-05,,True,False,False,False,instagram_dm,1
L1150,thriftedera99,reseller,,@thriftedera99,20227.0,1364.0,17%,,,,,,,,,,,307,emailed,2026/05/21,,Sells on Depop + Vinted,Depop scrape,contacted,online_reseller,2026-05-21,,True,False,False,False,instagram_dm,1
L1177,deadera16,depop,,@deadera16,27594.0,771.0,11%,,,,,,,,,,,2136,1st touch sent,May 30 2026,,,Instagram,contacted,online_reseller,2026-05-30,,True,False,False,False,instagram_dm,1
L1026,Curated Apparel,shop,Vintage & retro fashion,@curatedapparel,24651.0,,,curatedapparel.co.uk,info@curatedapparel.com,+44 7123281206,Sam Dubois,121 Mill Lane,London,"Camden, London",UK,51.52778,-0.14769,5126,1st touch sent,19/06/2026,,"Hand-picked vintage from the 60s to the 90s | Left a voicemail, no callback yet.",Google Maps scrape,contacted,physical,2026-06-19,,True,True,True,True,email,4
L1163,stockvault47,depop,,@stockvault47,9574.0,981.0,37%,,,,,,,,,,,497,emailed,2026-04-28,,,Vinted scrape,contacted,online_reseller,2026-04-28,,True,False,False,False,instagram_dm,1
L1107,Revival Threads,,Used clothing store,@revivalthreads,21924.0,,,,info@revivalthreads.com,+33 603965223,,152 The Parade,Paris,"Le Marais, Paris",France,48.86635,2.36474,6348,1st touch sent,June 1 2026,,"Vintage workwear, military surplus, carhartt",Google Maps scrape,contacted,physical,2026-06-01,,True,True,True,False,email,3
L1130,Curated Vault,physical,Used clothing store,@curatedvault,29631.0,,,curatedvault.shop,info@curatedvault.com,+33 628772175,,62 The Parade,Los Angeles,"Melrose, Los Angeles",USA,34.09508,-118.37179,5504,contacted,2026-04-14,,"Curated vintage womenswear, Levi's & band tees | ",Market visit,contacted,physical,2026-04-14,,True,True,True,False,email,3
L1038,Moth Supply,physical,Used clothing store,@mothsupply,21354.0,,,mothsupply.co.uk,,,,63 Church Rd,London,"Peckham, London",UK,51.48089,-0.07608,1273,contacted,2026-04-16,,80s/90s denim & sportswear specialist,Referral,contacted,physical,2026-04-16,,True,False,False,False,instagram_dm,1
L1020,Cedar Exchange,store,Vintage boutique,@cedarexchange,24944.0,,,,info@cedarexchange.com,,Marco Green,18 High St,London,"Brick Lane, London",UK,51.5271,-0.06071,5229,1st touch sent,2026-04-23,,Retro football shirts & vintage sportswear | Owner mentioned they already buy from a Pakistan supplier.,Referral,contacted,physical,2026-04-23,,True,True,False,True,email,3
L1039,Echo Collective,store,Used clothing store,,,,,echocollective.com,,+44 7950240268,,30 Market St,London,"Peckham, London",UK,51.47343,-0.06233,2931,contacted,2026-06-15,,Reworked vintage and archive designer pieces,Google Maps scrape,contacted,physical,2026-06-15,,True,False,True,False,phone,1
L1056,Dusty Vault,,Retro clothing shop,@dustyvault,4117.0,,,dustyvault.shop,info@dustyvault.com,+44 7681447394,Ellie Meyer,52 Market St,London,"Notting Hill, London",UK,51.50026,-0.20622,3762,Contacted,28/06/2026,,"Vintage streetwear — Nike, Adidas, Ralph | ",Market visit,contacted,physical,2026-06-28,,True,True,True,True,email,4
L1024,Ragged Trading Co,,Retro clothing shop,@raggedtradingco,6466.0,,,raggedtradingco.co.uk,info@raggedtradingc.com,+44 7989413435,Leo Lopez,4 Cheshire St,London,"Brick Lane, London",UK,51.51204,-0.08241,3522,contacted,07/06/2026,,"Y2K, grunge and reworked one-off pieces | Busy on weekends — visit midweek.",Instagram,contacted,physical,2026-06-07,,True,True,True,True,email,4
L1090,Revival Supply,,Vintage boutique,@revivalsupply,4873.0,,,revivalsupply.shop,info@revivalsupply.com,+44 7767677219,James Diallo,75 High St,Bristol,"Stokes Croft, Bristol",UK,51.4596,-2.5891,2472,contacted,7 Jun,,"Retro football shirts & vintage sportswear | Left a voicemail, no callback yet.",Referral,contacted,physical,2026-06-07,,True,True,True,True,email,4
L1131,depopco11,,,@depopco11,30099.0,677.0,12%,,,,,,,,,,,2877,emailed,2026-06-29,,"Fast seller, good margins",Instagram,contacted,online_reseller,2026-06-29,,True,False,False,False,instagram_dm,1
L1072,Bygone Emporium,shop,Vintage boutique,,,,,bygoneemporium.shop,info@bygoneemporium.com,,Nadia Shah,46 Cheshire St,Brighton,"North Laine, Brighton",UK,50.82343,-0.14894,3278,1st touch sent,2026/03/12,,Hand-picked vintage from the 60s to the 90s,Google Maps scrape,contacted,physical,2026-12-03,,True,True,False,True,email,2
L1192,depoprail23,,,@depoprail23,21486.0,47.0,5%,,,,,,,,,,,422,Contacted,06/04/2026,,"Fast seller, good margins",Depop scrape,contacted,online_reseller,2026-04-06,,True,False,False,False,instagram_dm,1
L1086,Golden Era Loft,,Consignment store,@goldeneraloft,13533.0,,,,info@goldeneraloft.com,+44 7868058911,Noor Diallo,169 The Parade,Bristol,"Stokes Croft, Bristol",UK,51.45699,-2.5873,2314,new lead,,,"Vintage workwear, military surplus, carhartt",Instagram,new,physical,,,True,True,True,True,email,4
L1162,grailfinds3,,,@grailfinds3,27350.0,1238.0,18%,,,,,,,,,,,2781,Closed Lost,2026/06/27,,"IG shop, DMs open",Instagram,lost,online_reseller,2026-06-27,,True,False,False,False,instagram_dm,1
L1176,studioarchive99,,,@studioarchive99,27581.0,557.0,17%,,,,,,,,,,,614,New,,,Sells on Depop + Vinted,Depop scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1132,thriftedera71,,,@thriftedera71,42581.0,653.0,37%,,,,,,,,,,,1219,New,,,,Vinted scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1183,therail67,,,@therail67,34604.0,504.0,44%,,,,,,,,,,,1518,New,,,"Whatnot seller, live sales",Depop scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1074,Retrograde Store,,Thrift store,@retrogradestore,5094.0,,,retrogradestore.com,info@retrogradestor.com,+44 7644089268,,127 High St,Brighton,"North Laine, Brighton",UK,50.83733,-0.1294,2043,new - inbound,,,"Y2K, grunge and reworked one-off pieces",Referral,new,physical,,,True,True,True,False,email,3
L1115,Marlowe Goods,,Vintage & retro fashion,,,,,marlowegoods.com,,,Theo Rossi,153 Mill Lane,Amsterdam,Amsterdam,Netherlands,52.36327,4.90955,4658,new lead,,,Reworked vintage and archive designer pieces,Google Maps scrape,new,physical,,,True,False,False,True,in_person_only,1
L1052,Echo Store,physical,Vintage & retro fashion,@echostore,2458.0,,,echostore.co.uk,info@echostore.com,+44 7980893246,James Dubois,91 Union St,London,"Dalston, London",UK,51.5477,-0.0825,3837,NEW,,,Hand-picked vintage from the 60s to the 90s,Referral,new,physical,,,True,True,True,True,email,4
L1188,grailsupply32,depop,,@grailsupply32,5782.0,1165.0,16%,,,,,,,,,,,3456,not contacted,,,"Fast seller, good margins",Whatnot,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1172,eragoods99,depop,,@eragoods99,61247.0,958.0,43%,,,,,,,,,,,2286,new - inbound,,,,Depop scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1146,archivepicks77,depop,,@archivepicks77,32948.0,1202.0,40%,,,,,,,,,,,2637,new - inbound,,,"IG shop, DMs open",Depop scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1161,sourcedera14,depop,,@sourcedera14,57076.0,316.0,39%,,sourcedera14@gmail.com,,,,,,,,,1883,new - inbound,,,,Depop scrape,new,online_reseller,,,True,True,False,False,instagram_dm,2
L1164,eragoods88,IG,,@eragoods88,12540.0,1189.0,41%,,eragoods88@gmail.com,,,,,,,,,1340,new - inbound,,,,Vinted scrape,new,online_reseller,,,True,True,False,False,instagram_dm,2
L1012,Heirloom Depot,,Retro clothing shop,@heirloomdepot,21276.0,,,heirloomdepot.shop,info@heirloomdepot.com,+44 7680112805,Dan Baker,38 Broadway,London,"Shoreditch, London",UK,51.51506,-0.0766,4377,Closed Lost,29/05/2026,,"Y2K, grunge and reworked one-off pieces",Google Maps scrape,lost,physical,2026-05-29,,True,True,True,True,email,4
L1078,Wilder & Sons,physical,Retro clothing shop,@wilderandsons,21430.0,,,,info@wilderandsons.com,+44 7801006231,,39 High St,Manchester,"Northern Quarter, Manchester",UK,53.47725,-2.23706,2335,NEW,,,Retro football shirts & vintage sportswear | ,Instagram,new,physical,,,True,True,True,False,email,3
L1187,deadthreads62,IG,,@deadthreads62,45162.0,500.0,56%,,,,,,,,,,,498,New,,,,Depop scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1179,reworkedera62,,,@reworkedera62,49020.0,312.0,59%,,,,,,,,,,,1697,NEW,,,"Whatnot seller, live sales",Instagram,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1077,Velvet Closet,shop,Used clothing store,@velvetcloset,28714.0,,,velvetcloset.shop,,+44 7204899642,Hannah Byrne,59 Broadway,Manchester,"Northern Quarter, Manchester",UK,53.48567,-2.2421,804,not contacted,,,"Vintage streetwear — Nike, Adidas, Ralph",Instagram,new,physical,,,True,False,True,True,phone,3
L1123,Dusty Store,physical,Vintage boutique,@dustystore,6194.0,,,dustystore.co.uk,info@dustystore.com,,Yusuf Klein,44 Church Rd,New York,"Williamsburg, New York",USA,40.71475,-73.95367,1393,not interested,2026-05-22,,"Vintage streetwear — Nike, Adidas, Ralph | Instagram DMs open, email bounced.",Market visit,lost,physical,2026-05-22,,True,True,False,True,email,3
L1063,Rewind Society,,Used clothing store,@rewindsociety,15923.0,,,rewindsociety.co.uk,info@rewindsociety.com,+44 7298259526,Mila Lopez,152 The Parade,London,"Soho, London",UK,51.51398,-0.13377,1388,new - inbound,,,"Vintage streetwear — Nike, Adidas, Ralph | Instagram DMs open, email bounced.",Inbound,new,physical,,,True,True,True,True,email,4
L1145,depopthreads55,,,@depopthreads55,56244.0,552.0,5%,,depopthreads55@gmail.com,,,,,,,,,713,NEW,,,"Whatnot seller, live sales",Depop scrape,new,online_reseller,,,True,True,False,False,instagram_dm,2
L1173,thedrip50,,,@thedrip50,45650.0,889.0,57%,,,,,,,,,,,1638,New,,,"Fast seller, good margins",Depop scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1148,retropicks38,,,@retropicks38,54781.0,1359.0,5%,,,,,,,,,,,1308,new - inbound,,,Sells on Depop + Vinted,Whatnot,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1011,Golden Era Trading Co,shop,Vintage clothing store,@goldeneratradingco,10210.0,,,goldeneratradingco.co.uk,info@goldeneratradi.com,,,30 Market St,London,"Shoreditch, London",UK,51.52982,-0.08027,2700,lost,2026-04-08,,"Vintage workwear, military surplus, carhartt | Keen but wants to see the app before committing.",Instagram,lost,physical,2026-08-04,,True,True,False,False,email,2
L1144,eraroom25,reseller,,@eraroom25,13053.0,385.0,52%,,,,,,,,,,,200,new lead,,,,Depop scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1032,Second Store,,Vintage & retro fashion,,,,,secondstore.co.uk,info@secondstore.com,,Ben Dubois,178 Broadway,London,"Camden, London",UK,51.5426,-0.13416,1794,not interested,2026-06-12,,"Vintage streetwear — Nike, Adidas, Ralph",Referral,lost,physical,2026-12-06,,True,True,False,True,email,2
L1178,deadpicks79,,,@deadpicks79,36982.0,1171.0,35%,,,,,,,,,,,2479,not contacted,,,"Whatnot seller, live sales",Whatnot,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1083,Patina Store,,Retro clothing shop,@patinastore,14522.0,,,patinastore.shop,,+44 7886101581,,153 The Parade,Manchester,"Northern Quarter, Manchester",UK,53.49273,-2.2477,2389,New,,,"Reworked vintage and archive designer pieces | Heard of Fleek, thinks it's 'for small resellers'.",Instagram,new,physical,,,True,False,True,False,phone,2
L1051,Bygone Room,physical,Flea market,@bygoneroom,4908.0,,,bygoneroom.co.uk,info@bygoneroom.com,,,121 Church Rd,London,"Dalston, London",UK,51.55221,-0.07574,654,new lead,,,Reclaimed furniture and home restoration,Google Maps scrape,new,physical,,,True,True,False,False,email,2
L1023,Faded Finds,physical,Consignment store,,,,,fadedfinds.com,,+44 7678377701,Grace Diallo,104 Union St,London,"Brick Lane, London",UK,51.51635,-0.06954,1559,NEW,,,"Reworked vintage and archive designer pieces | Met at a market, said to drop by the shop.",Inbound,new,physical,,,True,False,True,True,phone,2
L1140,stockroom69,,,@stockroom69,7777.0,81.0,29%,,,,,,,,,,,2224,not contacted,,,"Whatnot seller, live sales",Depop scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1047,Second Room,shop,Used clothing store,@secondroom,1744.0,,,,info@secondroom.com,+44 7597820715,,22 Cheshire St,London,"Dalston, London",UK,51.54951,-0.08606,5518,no fit,2026/05/05,,"Y2K, grunge and reworked one-off pieces",Market visit,lost,physical,2026-05-05,,True,True,True,False,email,3
L1181,archivedrip82,,,@archivedrip82,61477.0,1259.0,32%,,,,,,,,,,,1998,New,,,"IG shop, DMs open",Depop scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1073,Nomad Denim,,Thrift store,@nomaddenim,22033.0,,,,info@nomaddenim.com,+44 7903311907,,154 High St,Brighton,"North Laine, Brighton",UK,50.81987,-0.15094,300,NEW,,,"Hand-picked vintage from the 60s to the 90s | Met at a market, said to drop by the shop.",BDR,new,physical,,,True,True,True,False,email,3
L1191,sourcedvault98,,,@sourcedvault98,9204.0,140.0,38%,,,,,,,,,,,1712,lost,2026-04-23,,,Whatnot,lost,online_reseller,2026-04-23,,True,False,False,False,instagram_dm,1
L1022,Time Warp Depot,shop,Thrift store,@timewarpdepot,23577.0,,,timewarpdepot.co.uk,,+44 7284987769,,69 The Parade,London,"Brick Lane, London",UK,51.52944,-0.06356,3707,not contacted,,,"Vintage streetwear — Nike, Adidas, Ralph | Left a voicemail, no callback yet.",BDR,new,physical,,,True,False,True,False,phone,2
L1100,Heirloom Apparel,shop,Vintage clothing store,@heirloomapparel,5317.0,,,heirloomapparel.com,info@heirloomappare.com,,Freya Green,108 Union St,Glasgow,Glasgow,UK,55.85992,-4.25381,3363,new - inbound,,,"Curated vintage womenswear, Levi's & band tees",Inbound,new,physical,,,True,True,False,True,email,3
L1189,retroco74,IG,,@retroco74,16191.0,525.0,60%,,,,,,,,,,,1337,new lead,,,"Whatnot seller, live sales",Whatnot,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1112,Time Warp Exchange,physical,Vintage boutique,@timewarpexchange,16218.0,,,timewarpexchange.co.uk,info@timewarpexchan.com,,Theo Nowak,156 Broadway,Berlin,"Kreuzberg, Berlin",Germany,52.49077,13.39343,588,New,,,Hand-picked vintage from the 60s to the 90s | Keen but wants to see the app before committing.,Market visit,new,physical,,,True,True,False,True,email,3
L1124,Attic Garments,physical,Consignment store,@atticgarments,6644.0,,,atticgarments.shop,info@atticgarments.com,+33 603354216,Karim Cole,79 Church Rd,New York,"Williamsburg, New York",USA,40.70457,-73.9709,5294,new - inbound,,,Hand-picked vintage from the 60s to the 90s,Market visit,new,physical,,,True,True,True,True,email,4
L1089,Revival Trading Co,,Used clothing store,@revivaltradingco,11933.0,,,revivaltradingco.com,,+44 7499125134,Priya Nowak,96 Church Rd,Bristol,"Stokes Croft, Bristol",UK,51.46526,-2.59196,1250,no fit,15 Mar,,"Vintage workwear, military surplus, carhartt | Price-sensitive, compares to local wholesalers.",Market visit,lost,physical,2026-03-15,,True,False,True,True,phone,3
L1180,eraroom21,depop,,@eraroom21,53284.0,1157.0,44%,,,,,,,,,,,1057,new - inbound,,,,Depop scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1035,Attic Wardrobe,physical,Vintage clothing store,@atticwardrobe,8612.0,,,atticwardrobe.shop,,+44 7047095214,,84 Broadway,London,"Camden, London",UK,51.53122,-0.15143,5639,lost,06/04/2026,,80s/90s denim & sportswear specialist,Inbound,lost,physical,2026-04-06,,True,False,True,False,phone,2
L1139,stockpicks87,depop,,@stockpicks87,47353.0,266.0,53%,,,,,,,,,,,783,new lead,,,,Instagram,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1008,Foundry & Sons,store,Vintage clothing store,@foundryandsons,6412.0,,,foundryandsons.co.uk,,+44 7317810801,Noor Diallo,43 Broadway,London,"Shoreditch, London",UK,51.52366,-0.07887,5326,NEW,,,"Curated vintage womenswear, Levi's & band tees | Owner mentioned they already buy from a Pakistan supplier.",BDR,new,physical,,,True,False,True,True,phone,3
L1014,Foundry Trading Co,,Used clothing store,@foundrytradingco,17092.0,,,,info@foundrytrading.com,+44 7850142940,Priya Dubois,112 The Parade,London,"Shoreditch, London",UK,51.52949,-0.07647,405,new lead,,,"Vintage workwear, military surplus, carhartt",Referral,new,physical,,,True,True,True,True,email,4
L1135,deadco25,IG,,@deadco25,47775.0,722.0,11%,,,,,,,,,,,1412,not contacted,,,,Depop scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1043,Dusty Corner,,Retro clothing shop,@dustycorner,25855.0,,,dustycorner.shop,info@dustycorner.com,+44 7102290147,Rosa Frost,125 Kingsland Rd,London,"Peckham, London",UK,51.47194,-0.07583,3738,new - inbound,,,"Curated vintage womenswear, Levi's & band tees",Inbound,new,physical,,,True,True,True,True,email,4
L1170,archivegoods76,,,@archivegoods76,10424.0,144.0,15%,,archivegoods76@gmail.com,,,,,,,,,1917,new - inbound,,,"IG shop, DMs open",Vinted scrape,new,online_reseller,,,True,True,False,False,instagram_dm,2
L1141,stockthreads26,depop,,@stockthreads26,10396.0,157.0,49%,,,,,,,,,,,1530,new lead,,,,Depop scrape,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1065,Pinegrove Apparel,,Vintage & retro fashion,@pinegroveapparel,6074.0,,,pinegroveapparel.shop,info@pinegroveappar.com,+44 7585497334,,143 Mill Lane,London,"Soho, London",UK,51.5072,-0.12265,4737,new lead,,,Retro football shirts & vintage sportswear | Busy on weekends — visit midweek.,Instagram,new,physical,,,True,True,True,False,email,3
L1151,archiveera69,IG,,@archiveera69,57485.0,898.0,58%,,,,,,,,,,,2288,New,,,,Instagram,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1168,reworkedvault57,depop,,@reworkedvault57,14661.0,337.0,16%,,,,,,,,,,,2325,New,,,"Whatnot seller, live sales",Whatnot,new,online_reseller,,,True,False,False,False,instagram_dm,1
L1082,Golden Era Goods,store,Vintage clothing store,@goldeneragoods,25747.0,,,goldeneragoods.com,info@goldeneragoods.com,+44 7477358662,,175 Broadway,Manchester,"Northern Quarter, Manchester",UK,53.47406,-2.23315,507,not contacted,,,"Vintage streetwear — Nike, Adidas, Ralph",Instagram,new,physical,,,True,True,True,False,email,3
L1081,Mercer Loft,,Used clothing store,,,,,,info@mercerloft.com,+44 7025039261,Grace Nowak,145 Union St,Manchester,"Northern Quarter, Manchester",UK,53.4856,-2.22761,4992,new - inbound,,,"Curated vintage womenswear, Levi's & band tees",Referral,new,physical,,,True,True,True,True,email,3
L1042,Relic Racks,physical,Used clothing store,@relicracks,12444.0,,,relicracks.co.uk,info@relicracks.com,+44 7936899809,Rosa Marsh,8 Church Rd,London,"Peckham, London",UK,51.46856,-0.0627,1199,new - inbound,,,"Vintage streetwear — Nike, Adidas, Ralph",Inbound,new,physical,,,True,True,True,True,email,4
